time,lAPAP,gAPAP,pAPAP,tAPAP
0.0,0.0,1199.5824,0.0,0.0
0.0005000500050005,2.3968852967907477,1197.1853933066243,0.00012138748778493172,7.884209096458813e-09
0.001000100010001,4.788738442392239,1194.7931763131837,0.0004851716366580394,6.308072353539847e-08
0.0015001500150015,7.175569516736271,1192.4057394513832,0.0010907863729098363,2.1276468485589845e-07
0.002000200020002,9.557388583883506,1190.0230731679899,0.0019376665490624433,5.040071788917264e-07
0.0025002500250025004,11.934205687080532,1187.6451679295249,0.003025248228210845,9.837463454065204e-07
0.003000300030003,14.306030849002152,1185.2720142220332,0.004352968669774419,1.6987890635356602e-06
0.0035003500350035003,16.672874071484745,1182.9036025513376,0.00592026634506526,2.6958091954554578e-06
0.004000400040004,19.03474533507593,1180.5399234434644,0.007726580963582323,4.021344620021202e-06
0.004500450045004501,21.39165460056292,1178.1809674431945,0.009771353383971546,5.721807129071926e-06
0.005000500050005001,23.743611812112498,1175.8267251110826,0.012054025431171431,7.843502692242497e-06
0.005500550055005501,26.090626892282934,1173.4771870281916,0.014574040186890682,1.0432599264825076e-05
0.006000600060006,28.432709743530225,1171.1323437946623,0.017330841901880008,1.3535136520456478e-05
0.0065006500650065,30.769870248867054,1168.7921860290887,0.020323875957308613,1.719703033263287e-05
0.0070007000700070005,33.10211827146294,1166.456704368898,0.023552588888250563,2.1464070010204268e-05
0.007500750075007501,35.429463654552436,1164.125889470436,0.02701642838907533,2.6381917662869254e-05
0.008000800080008,37.751916221767836,1161.7997320086529,0.03071484329390867,3.199611050084767e-05
0.008500850085008501,40.06948577751101,1159.4782226767504,0.034647283554788744,3.8352063405710656e-05
0.009000900090009001,42.382182106080705,1157.1613521870086,0.03881320029292943,4.549506289715258e-05
0.009500950095009501,44.69001497239122,1154.8491112701054,0.04321204575650498,5.347027210096838e-05
0.010001000100010001,46.99299412296201,1152.541490674176,0.047843273262526576,6.23227375874363e-05
0.010501050105010502,49.29112928397064,1150.238481166662,0.05270633731120602,7.209737591566616e-05
0.011001100110011002,51.58443016183352,1147.9400735337597,0.05780069355183877,8.283897764778396e-05
0.011501150115011502,53.87290644346489,1145.6462585801744,0.06312579876759701,9.459220913822256e-05
0.012001200120012,56.156567796321525,1143.357027129077,0.06868111087290374,0.00010740161284274745
0.0125012501250125,58.435423868447444,1141.072370022064,0.07446608891080714,0.00012131160762748288
0.013001300130013,60.70948428851856,1138.7922781191123,0.08048019305035453,0.00013636648907793715
0.013501350135013501,62.97875866588744,1136.516742298538,0.08672288458396668,0.00015261042980802857
0.014001400140014001,65.24325659062804,1134.2457534569548,0.0931936259248119,0.00017008747976911135
0.014501450145014501,67.5029876335803,1131.9793025092301,0.09989188060418032,0.00018884156655900116
0.015001500150015001,69.7579613467536,1129.7173803881035,0.10681711324779862,0.00020891649820569481
0.015501550155015502,72.00818726451709,1127.4599780430556,0.11396878950592498,0.00023035597138243446
0.016001600160016,74.25367490121582,1125.2070864425714,0.12134637619333687,0.0002532035549581118
0.0165016501650165,76.49443375208638,1122.9586965732717,0.12894934123556162,0.0002775026963161999
0.017001700170017002,78.73047329347051,1120.7147994397096,0.1367771536563383,0.0003032967228286025
0.0175017501750175,80.96180298286569,1118.4753860643227,0.1448292835746333,0.00033062884220679483
0.018001800180018002,83.18843225897616,1116.240447487384,0.15310520220165627,0.0003595421428529666
0.0185018501850185,85.41037054176363,1114.0099747669558,0.16160438183787562,0.00039007959421116296
0.019001900190019003,87.62762723249809,1111.783958978839,0.1703262958700348,0.0004222840471184275
0.0195019501950195,89.84021171380856,1109.5623912165267,0.17927041876816743,0.0004561982341559425
0.020002000200020003,92.04813334973412,1107.3452625911555,0.18843622608261357,0.000491864770000173
0.0205020502050205,94.25140148484758,1105.1325642323354,0.1978231944954899,0.0005293261453549221
0.021002100210021003,96.45002544278444,1102.924287289549,0.20743080190712002,0.0005686247167624029
0.0215021502150215,98.64401453052872,1100.7204229280812,0.21725852718424327,0.0006098027362834953
0.022002200220022004,100.83337803664048,1098.5209623307032,0.2273058502641506,0.0006529023392217142
0.022502250225022502,103.01812523113327,1096.3258966977876,0.2375722521618822,0.0006979655432740604
0.023002300230023004,105.19826536551385,1094.1352172472716,0.24805721496789362,0.0007450342488055716
0.023502350235023502,107.373807672822,1091.948915214619,0.2587602218457207,0.0007941502391238693
0.024002400240024,109.54476136767022,1089.7669818527822,0.26968075702964545,0.0008453551807537114
0.024502450245024503,111.71113564628361,1087.5894084321644,0.28081830582236167,0.0008986906237115397
0.025002500250025,113.87293968653935,1085.4161862405822,0.29217235459263985,0.000954198001780029
0.025502550255025503,116.03018264800676,1083.247306583228,0.3037423907729936,0.001011918632782639
0.026002600260026,118.18287367171443,1081.0827607828908,0.31552790287336013,0.0010718937169610305
0.026502650265026503,120.33102188002266,1078.922540180076,0.3275283804886041,0.0011341643360842336
0.027002700270027002,122.47463637748653,1076.7666361321888,0.33974331424778226,0.0011987714594565602
0.027502750275027504,124.61372625048345,1074.6150400138854,0.3521721958360446,0.0012657559413212635
0.028002800280028002,126.74830056723557,1072.4677432170536,0.3648145179933083,0.001335158521015686
0.028502850285028504,128.8783683778474,1070.3247371507744,0.3776697745120639,0.0014070198232291255
0.029002900290029002,131.00393871434298,1068.1860132412903,0.39073746023518163,0.001481380358260687
0.029502950295029504,133.12502059070323,1066.051562931967,0.4040170710537183,0.001558280522277147
0.030003000300030003,135.24162300290342,1063.9213776832587,0.4175081039047231,0.0016377605975708067
0.030503050305030505,137.35375492895042,1061.7954489726735,0.43121005676904467,0.0017198607528173572
